,CUID,Species,Year,LGL counts,Total run,Region
1037,405,Chum,1997,NA,NA,Nass
1038,406,Chum,1997,22454,32347,Nass
1039,404,Chum,1997,12576,18116,Nass
1040,408,Coho,1997,5714,12612,Nass
1041,410,Coho,1997,9342,20420,Nass
1042,409,Coho,1997,12420,27472,Nass
1043,414,Pink (Odd),1997,409907,708645,Nass
1044,219,Pink (Even),1997,NA,NA,Nass
1045,412,Pink (Even),1997,NA,NA,Nass
1046,415,Pink (Odd),1997,NA,NA,Nass
1047,420,Lake Sockeye,1997,NA,NA,Nass
1048,418,Lake Sockeye,1997,NA,NA,Nass
1049,421,Lake Sockeye,1997,3000,13697,Nass
1050,422,Lake Sockeye,1997,9000,46960,Nass
1051,423,Lake Sockeye,1997,NA,NA,Nass
1052,419,Lake Sockeye,1997,NA,NA,Nass
1053,424,Lake Sockeye,1997,158687,573265,Nass
1054,425,Lake Sockeye,1997,NA,NA,Nass
1055,426,River Sockeye,1997,15480,47091,Nass
1056,427,River Sockeye,1997,NA,NA,Nass
1057,401,Chinook,1998,1462,2617,Nass
1058,402,Chinook,1998,23213,45149,Nass
1059,405,Chum,1998,NA,NA,Nass
1060,406,Chum,1998,153858,214020,Nass
1061,404,Chum,1998,63836,88797,Nass
1062,408,Coho,1998,11717,22340,Nass
1063,410,Coho,1998,20833,38579,Nass
1064,409,Coho,1998,37565,71819,Nass
1065,414,Pink (Odd),1998,NA,NA,Nass
1066,219,Pink (Even),1998,522623,732549,Nass
1067,412,Pink (Even),1998,NA,NA,Nass
1068,415,Pink (Odd),1998,NA,NA,Nass
1069,420,Lake Sockeye,1998,NA,NA,Nass
1070,418,Lake Sockeye,1998,NA,NA,Nass
1071,421,Lake Sockeye,1998,8190,24322,Nass
1072,422,Lake Sockeye,1998,3500,7922,Nass
1073,423,Lake Sockeye,1998,NA,NA,Nass
1074,419,Lake Sockeye,1998,NA,NA,Nass
1075,424,Lake Sockeye,1998,163925,438410,Nass
1076,425,Lake Sockeye,1998,NA,NA,Nass
1077,426,River Sockeye,1998,10448,24180,Nass
1078,427,River Sockeye,1998,NA,NA,Nass
1079,401,Chinook,1999,982,2076,Nass
1080,402,Chinook,1999,11544,28070,Nass
1081,405,Chum,1999,NA,NA,Nass
1082,406,Chum,1999,35179,75346,Nass
1083,404,Chum,1999,18074,38710,Nass
1084,408,Coho,1999,16533,33096,Nass
1085,410,Coho,1999,29601,58626,Nass
1086,409,Coho,1999,56988,114403,Nass
1087,414,Pink (Odd),1999,839345,2195047,Nass
1088,219,Pink (Even),1999,NA,NA,Nass
1089,412,Pink (Even),1999,NA,NA,Nass
1090,415,Pink (Odd),1999,NA,NA,Nass
1091,420,Lake Sockeye,1999,NA,NA,Nass
